username,date,full_display_text
ikrimah114,10/03/2026 04:11,"[Retweeted]
""Ash-Shahīd Abū Hamzah as-Sūdānī describes how the orphans of Shām used to boast about their father’s Shahādah:"
ikrimah114,10/03/2026 00:09,"Can someone tell me what Trump said? I don’t understand him and I can’t stand listening to him for 30 seconds 

Did he admit in Trump manner defeat and will he stop the war or will he double down and continue?"
ikrimah114,09/03/2026 21:40,"""""URGENT: This is Yuuuuuuuuuge.

Islamic Revolutionary Guard Corps of Iran:

Any Arab or European country that expels the Israeli and American ambassadors from its territories will be granted full authorization and freedom of passage through the Strait of Hormuz starting tomorrow.""
""
--------------

Hahahaha 😄"
ikrimah114,09/03/2026 18:37,"[Retweeted]
""'You helped us against the Soviets and USA.'

Afghan Defence Minister thanks Pakistan's scholars and masses (instead of Pakistan's junta) for helping Afghans over decades.

Yaqoob's a refreshing contrast to his Pakistani counterpart who's busy ranting against Afghan refugees on X"
ikrimah114,09/03/2026 14:50,"[Retweeted]
""Abdul’s father, a Bangladeshi migrant worker in the UAE, delivered water for a living so his family back home could survive. He knew nothing about the war. He had no chartered jet waiting to evacuate him. These migrant workers will be the nameless casualties of an imperial war"
ikrimah114,09/03/2026 14:05,"""""Professor John Mearsheimer: From 1971 to 2021, the US murdered 38 million people 
""
--------------

This is mongol scale of devastation 
Yet the mongols would kill you instantly
But these American Satanists will kill you slowly by spreading hunger, diseases, embargo’s and creating misery over decades 
May Allah take revenge on them like he did with Ad and Thamud and Saddum"
ikrimah114,09/03/2026 09:55,"""""This is the Red Army burning burqas and other Islamic veils on March 8, 1927, in honor of International Women’s Day in the town square in Andijan, Uzbekistan.

Forced secularization of Central Asian countries by the Soviet Union is one of the reasons they are not like Afghanistan today.""
""
--------------

Straight from the horse’s mouth
If Amanullah had succeeded, we’d be what these countries are today 
Therefore may Allah have mercy on Habibullah Kalakani (Bache Saqaw) for chasing him out of Afg
And alhamdulillah for all the Mujahideen in the eighties who fought the communists"
ikrimah114,09/03/2026 09:38,"""""Oğlunu istişhada gönderen anne 
""
--------------

This was an operation under JN where Jolani gave a speech talking about heroism of the brother who blew himself up so that an Islamic Emirate in Sham can be established, praising the mother‘s resilience
What do you think this brother would say to him and his cult followers today?"
ikrimah114,09/03/2026 05:01,"""""I get certain Hizbīs hating on the Students Movement, but to argue that it’s less Islāmic than other official governments is mental retardation that has nothing to do with the Jinn.""
""
--------------

It’s coping 
Nothing more, nothing else 
The moment you criticise their Gulf scholars or doings of the new Syrian government in any way, they slander you for not being retarded in your criticism of IEA (even if half your posts about IEA is actually criticism)
Unfair assessment"
ikrimah114,09/03/2026 04:50,"[Retweeted]
""Jordan was solely created as a geopolitical buffer to protect Israel at the expense of Muslim casualties instead of Jewish."""
ikrimah114,09/03/2026 04:47,"[Retweeted]
""Kuwayt has Sh. al-Khamīs. 
KSA has Sh. al-Fawzān.
`Āsim Munīr has Muftī `Uthmānī. 
Jawlānī has Sh. Al-Muhaysanī.

How long till the cage of man-made law break?

Allāh’s Help is Sought."""
ikrimah114,09/03/2026 00:31,"[Retweeted]
""Muhajir Abdirahman Zeynudiin Ali May Allah accept him

ولا تنس عهد أخا بيننا💔  
And do not forget the bond of brotherhood between us

We will remain faithful to the covenant, Insha Allah."
ikrimah114,08/03/2026 23:26,"[Retweeted]
""The children breathing this air today will develop cancers 10, 20, 30 years from now. And nobody will connect it. Nobody will pay for their treatment. Nobody will be held accountable. 

When petroleum burns, it releases sulfur oxides, nitrogen oxides, and toxic hydrocarbons into the air.
When those chemicals mix with rain, they become SULFURIC ACID and NITRIC ACID.

The rain causes ""chemical burns to the skin and serious damage to the lungs.""

it's a chemical attack using oil as the weapon

When Saddam burned oil wells in Kuwait in 1991, US veterans developed “Gulf War Syndrome” chronic pain, neurological damage, cancer. 30 years later, they're still dying from it.
That was in the desert. This is inside a city of 10 million.
 
But hey Lets Make Iran Great Again ☝🏼🥸"""
ikrimah114,08/03/2026 18:03,"Posting Othman Khabeeth in pics with martyred Syrian fighters doesn’t change fact that he called the soldiers of Kuwait fighting for American interests Murabitun lol 
You can cope as long as you want but Khabeeth called out Hamas for aligning with Iran 
Allah exposes him and you"
ikrimah114,08/03/2026 17:57,"[Retweeted]
""“I want my mom.”

A little Palestinian girl cries, searching for her mother who was killed. Today is International Women’s Day. Some women never made it to see it.🕊️"
ikrimah114,08/03/2026 16:55,"[Retweeted]
""🔞 Never forget! An American soldier smiles for a photo with the shattered body of an Iraqi child."
ikrimah114,08/03/2026 16:43,"""""Throughout this war, our entire government body has been clear on every step it takes. So, for Jerusalem Post to announce on behalf of The UAE that it has attacked desalination facilities in Iran is flat out wrong. False information. The UAE has the guts to announce its moves, we don’t hide in bunkers.""
""
--------------

🤣
Rauda‘s redemption arc"
ikrimah114,08/03/2026 12:19,"""""Turkish photographer Uğur Gallenkuş portrays two different worlds within a single image.

""
--------------

This dunya will remain unjust, where the wicked do as they please until the law of Allah is established
We may pretend we’re not responsible for bringing change but on the Day of Reckoning each of us will answer for how we lived comfortably while others starved and suffered"
ikrimah114,08/03/2026 12:04,"[Retweeted]
""On this day, March 8th, 2005
Aslan (Khalid) Maskhadov was martyred."
ikrimah114,08/03/2026 00:04,"""""@hkx_y The part of the Iranian state that is now in charge is aligned with America.

The goal is to destroy the Gulf and then America will normalize with Iran.""
""
--------------

High on crack if this ain’t sarcasm"
ikrimah114,07/03/2026 21:59,"The cousin of J33ts 
Threatening rape and then crying when their heads are removed from their shoulders and ppl play football with it 
This is the degeneracy that is fighting Islam and threatening Muslim Afghan women and at the same time claiming Islam
Dont cry later"
ikrimah114,07/03/2026 21:27,"Don’t understand the shitstorm Prof Jiang is getting
He reduces complex issues to their core
While this leads to serious mistakes (keep in mind he’s not a Muslim), his game theory approach often works
The world isn’t as complicated as some claim just to appear more intellectual"
ikrimah114,07/03/2026 20:13,"[Retweeted]
""As of tonight, Israel pretending that they are only targeting military sites in Iran came to an end. They wanted not to alienate the anti-regime sections and encourage them protest but their bet failed. So Israel has started bombing civilian infrastructure, water, oil and other facilities. They want to make life harder for all Iranians regardless of affiliation. The aim is to force them go out and protest. And if this failed too, they will move to their favorite phase of the war which carpet bombing cities and killing as many people as possible to force the enemy into submission. 

Jewish supremacy is the single biggest threat on humanity today."""
ikrimah114,07/03/2026 10:01,"""""American soldier laughing about Iraq: ""There was this girl, like 15 years old. We started pimping her out for like 50 bucks a shot. Made 500 bucks before she hung herself."" 
""
--------------

In times of X and Social Media ppl should be able to identify this man and his current status 
Is he alive?"
