threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.61,0.6821705426356589,0.575726189519293,0.9090909090909091,0.2127659574468085,0.3448275862068966,0.25125628140703515
0.62,0.686046511627907,0.5790286403211119,1.0,0.2127659574468085,0.3508771929824561,0.25252525252525254
0.63,0.6821705426356589,0.5683871858950723,1.0,0.19148936170212766,0.32142857142857145,0.22842639593908629
0.64,0.6821705426356589,0.5683871858950723,1.0,0.19148936170212766,0.32142857142857145,0.22842639593908629
0.65,0.6705426356589147,0.5336889278821615,1.0,0.1276595744680851,0.22641509433962265,0.15463917525773196
0.66,0.6705426356589147,0.5336889278821615,1.0,0.1276595744680851,0.22641509433962265,0.15463917525773196
0.67,0.6666666666666666,0.5215099715099715,1.0,0.10638297872340426,0.19230769230769232,0.12953367875647667
0.68,0.6666666666666666,0.5215099715099715,1.0,0.10638297872340426,0.19230769230769232,0.12953367875647667
0.69,0.6666666666666666,0.5215099715099715,1.0,0.10638297872340426,0.19230769230769232,0.12953367875647667
0.7,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.71,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.72,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.73,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.74,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.75,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.76,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.77,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.78,0.6589147286821705,0.4952297060192645,1.0,0.06382978723404255,0.12,0.07853403141361257
0.79,0.6550387596899225,0.4816408122469378,1.0,0.0425531914893617,0.08163265306122448,0.05263157894736842
0.8,0.6550387596899225,0.4816408122469378,1.0,0.0425531914893617,0.08163265306122448,0.05263157894736842
0.81,0.6550387596899225,0.4816408122469378,1.0,0.0425531914893617,0.08163265306122448,0.05263157894736842
0.82,0.6550387596899225,0.4816408122469378,1.0,0.0425531914893617,0.08163265306122448,0.05263157894736842
0.83,0.6511627906976745,0.46696469932026813,1.0,0.02127659574468085,0.041666666666666664,0.026455026455026454
0.84,0.6511627906976745,0.46696469932026813,1.0,0.02127659574468085,0.041666666666666664,0.026455026455026454
0.85,0.6511627906976745,0.46696469932026813,1.0,0.02127659574468085,0.041666666666666664,0.026455026455026454
0.86,0.6511627906976745,0.46696469932026813,1.0,0.02127659574468085,0.041666666666666664,0.026455026455026454
0.87,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.88,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.89,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.9,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.91,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.92,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.93,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.94,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
0.95,0.6472868217054264,0.4517401163363896,0.0,0.0,0.0,0.0
