threshold,accuracy,macro_f1,salafi_jihadi_precision,salafi_jihadi_recall,salafi_jihadi_f1,salafi_jihadi_f2
0.38,0.7470817120622568,0.7068584434629198,0.7111111111111111,0.64,0.6736842105263158,0.6530612244897959
0.39,0.7392996108949417,0.6955312657365443,0.6976744186046512,0.6,0.6451612903225806,0.6172839506172839
0.4,0.7392996108949417,0.6885940975928069,0.7297297297297297,0.54,0.6206896551724138,0.569620253164557
0.41,0.7315175097276264,0.6722660177555678,0.7272727272727273,0.48,0.5783132530120482,0.5150214592274678
0.42,0.7276264591439688,0.6685477091214796,0.7666666666666667,0.46,0.575,0.5
0.43,0.7237354085603113,0.6598662082017746,0.7777777777777778,0.42,0.5454545454545454,0.46255506607929514
0.44,0.7237354085603113,0.6598662082017746,0.7777777777777778,0.42,0.5454545454545454,0.46255506607929514
0.45,0.7198443579766537,0.6518092035199822,0.7692307692307693,0.4,0.5263157894736842,0.4424778761061947
0.46,0.7198443579766537,0.64795423995424,0.7916666666666666,0.38,0.5135135135135135,0.42410714285714285
0.47,0.7159533073929961,0.6395158367761108,0.782608695652174,0.36,0.4931506849315068,0.40358744394618834
0.48,0.708171206225681,0.6228916406843332,0.7619047619047619,0.32,0.4507042253521127,0.36199095022624433
0.49,0.708171206225681,0.6234384418324291,0.8,0.32,0.45714285714285713,0.36363636363636365
0.5,0.7042801556420234,0.61441041328026,0.7894736842105263,0.3,0.43478260869565216,0.3424657534246575
0.51,0.6964980544747081,0.5964405103818448,0.7647058823529411,0.26,0.3880597014925373,0.2995391705069124
0.52,0.6964980544747081,0.589894021033298,0.8,0.24,0.36923076923076925,0.27906976744186046
0.53,0.6964980544747081,0.589894021033298,0.8,0.24,0.36923076923076925,0.27906976744186046
0.54,0.7003891050583657,0.595364017533829,0.8571428571428571,0.24,0.375,0.2803738317757009
0.55,0.7042801556420234,0.5985968054933571,0.9230769230769231,0.24,0.38095238095238093,0.28169014084507044
